Depth(ft),Field Name,Well Name,Facies Association ,Operation Code,Operation Code-Numeric,Group Facies Association ,Perm(mD),Porosity (Frac),CEC,KKLCorrection Factor,Corrected K (mD),Corrected PhiT,Kv,Log(R35),R35,R35 Grouping,RQI,NPHI,FZI,HFU
6303,ABC,5,FA-1,F1-Cgpbm,1,GFA-1,916.62,0.193,-999.25,0.038525794,881.306487,0.18914,77.54132112,1.36304581,23.06990523,4,2.163942209,0.239157373,9.048193587,9
5745.8642,ABC,3,FA-1,F1-CGpbm,1,GFA-1,308,0.166,-999.25,0.052972939,291.6843348,0.16268,47.11625598,1.141094433,13.83867255,3,1.35254263,0.199040767,6.795304539,7
5745.8634,ABC,3,FA-1,F1-CGpbm,1,GFA-1,255.45,0.164,-999.25,0.055947097,241.1583142,0.16072,35.9714847,1.097870789,12.52768396,3,1.239254994,0.196172249,6.317177894,6
6359.119,ABC,5,FA-1,F1-Cgpbx,1,GFA-1,233.17,0.24,-999.25,0.057457994,219.7725196,0.2352,7.297909941,0.931689019,8.544546522,3,0.978724283,0.315789474,3.099293562,3
6358.2043,ABC,5,FA-1,F1-Cgpbx,1,GFA-1,171.45,0.208,-999.25,0.06285542,160.6734383,0.20384,20.70265078,0.906866122,8.069862266,3,0.901502064,0.262626263,3.432642474,3
6360.0337,ABC,5,FA-1,F1-Cgpbx,1,GFA-1,135.64,0.212,-999.25,0.067305979,126.510617,0.20776,14.25676713,0.839889831,6.916554947,2,0.794247046,0.269035533,2.952201284,3
5749.4426,ABC,3,FA-1,F1-CGpbm,1,GFA-1,115.73,0.141,-999.25,0.070499276,107.5711187,0.13818,5.525902312,0.952380907,8.961504085,3,0.899586788,0.164144354,5.480461352,5
5751.759,ABC,3,FA-1,F1-CGpbm,1,GFA-1,72,0.136,-999.25,0.080978511,66.16954718,0.13328,1.084888921,0.844733891,6.994133072,2,0.722481019,0.157407407,4.589879418,5
5748.1212,ABC,3,FA-1,F1-CGpbm,1,GFA-1,22.02,0.138,-999.25,0.114448004,19.49985496,0.13524,1.446493621,0.53672105,3.44128824,2,0.396642057,0.160092807,2.47757575,2
5747.2468,ABC,3,FA-1,F1-CGpbm,1,GFA-1,17.31,0.136,-999.25,0.122780143,15.18467573,0.13328,1.657213576,0.480741059,3.025109219,2,0.354249077,0.157407407,2.25052355,2
5750.7651,ABC,3,FA-1,F1-CGpbm,1,GFA-1,15.63,0.135,-999.25,0.126495436,13.65287633,0.1323,0.604590756,0.457439503,2.867077966,1,0.337864259,0.156069364,2.164833958,2
5755.7315,ABC,3,FA-1,F1-CGpbm,1,GFA-1,14,0.111,-999.25,0.130629568,12.17118604,0.10878,0.159498189,0.502764231,3.182469362,2,0.35264049,0.124859393,2.824300863,3
